Processes,Run 1,Run 2,Run 3,Mean,Stdev
1,31.81884,31.67185,31.68433,31.725006666666665,0.08150127872207623
2,28.46397,28.43793,28.41323,28.438376666666667,0.025372948849776224
4,14.17267,14.11599,14.21658,14.168413333333334,0.05042991605518844
8,13.13371,13.26781,13.2516,13.217706666666666,0.07319338107597784
16,11.39606,15.74033,11.7135,12.949963333333333,2.4217352537454078
